Website,Compliance Status,Granular Consent Status,Cookies Before,Cookies After,Country Code,Continent,Website_clean
http://ypu.edu.tw,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,tw,Unknown,ypu.edu.tw
http://umariana.edu.co,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,co,South America,umariana.edu.co
http://hntou.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,hntou.edu.cn
http://smth.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,smth.edu.cn
http://unicolmayor.edu.co,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,co,South America,unicolmayor.edu.co
https://vul.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,171,171,unknown,Unknown,vul.edu
http://spmph.edu.vn,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,178,178,vn,Unknown,spmph.edu.vn
https://tts.edu.sg,Compliant,Granular Consent Evaluated,190,192,sg,Unknown,tts.edu.sg
https://akbible.edu,Compliant,Granular Consent Evaluated,191,190,unknown,Unknown,akbible.edu
https://dumlupinar.edu.tr,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,182,182,tr,Unknown,dumlupinar.edu.tr
https://milaninstitute.edu,Compliant,Granular Consent Evaluated,194,220,unknown,Unknown,milaninstitute.edu
https://uch.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,201,201,unknown,Unknown,uch.edu
https://belrea.edu,Compliant,Granular Consent Evaluated,229,234,unknown,Unknown,belrea.edu
http://intellitec.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,243,243,unknown,Unknown,intellitec.edu
http://cipuc.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,cipuc.edu.cn
https://kmbc.edu,Compliant,Granular Consent Evaluated,230,253,unknown,Unknown,kmbc.edu
https://ibmc.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,243,243,unknown,Unknown,ibmc.edu
http://c3xuangiang.edu.vn,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,252,252,vn,Unknown,c3xuangiang.edu.vn
https://nnutc.edu.cn,Non-Compliant - No Consent Mechanism,No Granular Options Found,249,249,cn,Asia,nnutc.edu.cn
http://xjpi.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,xjpi.edu.cn
https://tasued.edu.ng,Compliant,Granular Consent Evaluated,249,250,ng,Africa,tasued.edu.ng
http://allstatecareer.edu,Compliant,Granular Consent Evaluated,318,321,unknown,Unknown,allstatecareer.edu
https://boricuacollege.edu,Compliant,Granular Consent Evaluated,286,285,unknown,Unknown,boricuacollege.edu
https://vaneduc.edu.ar,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,287,287,ar,South America,vaneduc.edu.ar
https://ssw.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,301,301,unknown,Unknown,ssw.edu
http://edpuniversity.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0,unknown,Unknown,edpuniversity.edu
https://29mayis.edu.tr,Non-Compliant - No Consent Mechanism,No Granular Options Found,299,299,tr,Unknown,29mayis.edu.tr
http://bellincollege.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,316,316,unknown,Unknown,bellincollege.edu
http://kharkiv.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown,kharkiv.edu
https://mitropolitiko.edu.gr,Compliant,Granular Consent Evaluated,332,338,gr,Unknown,mitropolitiko.edu.gr
https://lcn.edu,Compliant,Granular Consent Evaluated,343,347,unknown,Unknown,lcn.edu
https://jaipuria.edu.in,Compliant,Granular Consent Evaluated,334,332,in,Asia,jaipuria.edu.in
http://unahur.edu.ar,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,ar,South America,unahur.edu.ar
http://sangregorio.edu.ec,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,334,334,ec,Unknown,sangregorio.edu.ec
http://hcit.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,hcit.edu.cn
https://nguyendunt.edu.vn,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,333,333,vn,Unknown,nguyendunt.edu.vn
https://cidp.edu.cn,Non-Compliant - No Consent Mechanism,No Granular Options Found,332,332,cn,Asia,cidp.edu.cn
http://jsjzi.edu.cn,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,331,331,cn,Asia,jsjzi.edu.cn
http://colmich.edu.mx,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,mx,North America,colmich.edu.mx
https://koweziu.edu.pl,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,332,332,pl,Europe,koweziu.edu.pl
